Nom de la clinique,Ville,Adresse,Téléphone,Email,Site web,Propriétaire / Docteur,Source
Dermastructure,"Blainville","1340 Bd du Curé-Labelle, suite 200, Blainville, QC J7C 2P2","(450) 951-5800",dermastructure@gmail.com,https://www.dermastructure.com/,Dr. Michel Maalouf (médecin injecteur),Pages Jaunes / clinique-privee.ca
Institut Brabant,"Blainville","876 Curé-Labelle, suite 102, Blainville, QC J7C 2K9","(450) 818-0204",info@institutbrabant.com,https://institutbrabant.com/,Nathalie Brabant (propriétaire),Pages Jaunes / clinique-privee.ca
Dermapure Blainville,"Blainville","1282 Bd du Curé-Labelle, Blainville, QC",,,https://www.dermapure.com/en/locations/blainville/,,Dermapure réseau
Clinique LeBlanc + Savaria (Blainville),"Blainville","75 Boulevard des Châteaux, porte 106, suite 117, Blainville, QC J7B 2A4","(450) 434-2009",,https://cliniqueleblancsavaria.ca/,Dre Marie-Andrée LeBlanc (propriétaire),clinique-privee.ca
MediSens,"Saint-Jérôme","2218 Bd du Curé-Labelle, Saint-Jérôme, QC J7Y 1T6","(450) 990-5457",,https://medisens.ca/,Francine Jean (directrice / propriétaire),Pages Jaunes / clinique-privee.ca
HG Santé Beauté,"Saint-Jérôme","872-M Montée Ste-Thérèse, Saint-Jérôme, QC J5L 2L1","(450) 304-2284",hgsantebeaute@gmail.com,https://www.hgsantebeaute.ca/,Marie (propriétaire),Pages Jaunes
Clinique MedicoDerma,"Saint-Jérôme",,"(450) 504-4114",,https://cliniquemedicoderma.com/,Dre Lydia Monette (fondatrice / directrice médicale),clinique-privee.ca
Clinique Médico-Esthétique MAC MD,"Saint-Jérôme","200 rue Durand, suite 208, Saint-Jérôme, QC J7Z 7E2",,drtbmacesthetique@gmail.com,http://www.clinique-medico-esthetique-mac-md.com/,,Pages Jaunes
Epiderma Saint-Jérôme,"Saint-Jérôme","106 rue Valmont, Saint-Jérôme, QC J7Y 4Y2","1-877-374-3376 poste 2693",,https://epiderma.ca/en/clinic/saint-jerome/,,Epiderma réseau
Clinique Médico-Esthétique SMJ,"Saint-Jérôme","872 Montée Sainte-Thérèse, Saint-Jérôme, QC",,,,,Pages Jaunes
Clinique AAR,"Piedmont (Saint-Sauveur)","116 chemin de la Gare, suite 100, Piedmont, QC","(579) 688-2227",cliniqueaar@gmail.com,https://cliniqueaar.com/,Dre Attali (médecin); 2 infirmières fondatrices,clinique-privee.ca
Dermapure Saint-Sauveur (MED Esthétique),"Saint-Sauveur","325 Rue Principale, Saint-Sauveur, QC J0R 1R0",,,https://www.dermapure.com/en/locations/saint-sauveur/,Louise St-Aubin (fondatrice),clinique-privee.ca
Clinique MC Médico-Esthétique,"Saint-Sauveur","38 Avenue Filion, Saint-Sauveur, QC J0R 1R0",,,https://cliniquemc.com/,Marie Claude Thouin (infirmière experte / propriétaire),clinique-privee.ca / Pages Jaunes
MEDINORD Esthétique,"Piedmont","700 chemin Avila, Piedmont, QC J0R 1K0",,info@cliniquemedinord.com,https://medinordesthetique.com/,Dr. Poulin (directeur depuis 2014); Dre Marie-France Aumont; Dre Camille Champigny,clinique-privee.ca
VK Derma,"Piedmont","570 boulevard des Laurentides, Piedmont, QC J0R 1K0",,,https://www.vkderma.ca/,"Vicky et Kim (IPSPL, cofondatrices)",clinique-privee.ca
Armonia Médico Esthétique,"Saint-Sauveur","105-178 Rue Principale, Saint-Sauveur, QC",,,,"Marie Blott (franchisée Saint-Sauveur)",Pages Jaunes
Clinique LeBlanc + Savaria (Mont-Tremblant),"Mont-Tremblant","447 Rue Charbonneau, Mont-Tremblant, QC J8E 3H4","(873) 563-5009",,https://cliniqueleblancsavaria.ca/,Dre Marie-Andrée LeBlanc (propriétaire),clinique-privee.ca
Dermapure Mont-Tremblant,"Mont-Tremblant",,,,https://www.dermapure.com/en/locations/mont-tremblant/,,Dermapure réseau
Laser Médic Spa,"Lorraine (Laurentides)",,"(450) 987-2802",,https://www.epilationlasermedicspa.com/,,Pages Jaunes
